"","NG.A3080_CONTROL_STG_2024_001_D1","NG.A3080_CONTROL_STG_2024_001_D5","NG.A3080_CONTROL_STG_2024_001_D90","NG.A3080_CONTROL_STG_2024_002_D1","NG.A3080_CONTROL_STG_2024_002_D5","NG.A3080_CONTROL_STG_2024_002_D90","NG.A3080_CONTROL_STG_2024_003_D1","NG.A3080_CONTROL_STG_2024_003_D5_rep","NG.A3080_CONTROL_STG_2024_003_D90","NG.A3080_CONTROL_STG_2024_004_D1_rep","NG.A3080_CONTROL_STG_2024_004_D5","NG.A3080_CONTROL_STG_2024_004_D90","NG.A3080_CONTROL_STG_2024_005_D1_rep","NG.A3080_SOS_STG_2023_022_D1","NG.A3080_SOS_STG_2023_022_D90","NG.A3080_SOS_STG_2023_033_D1","NG.A3080_SOS_STG_2023_033_D5","NG.A3080_SOS_STG_2023_033_D90","NG.A3080_SOS_STG_2023_035_D1","NG.A3080_SOS_STG_2024_009_D1","NG.A3080_SOS_STG_2024_009_D90","NG.A3080_SOS_STG_2024_011_D5","NG.A3080_UIA_STG_2023_001_D1","NG.A3080_UIA_STG_2023_001_D90","NG.A3080_UIA_STG_2023_004_D1","NG.A3080_UIA_STG_2023_005_D1_rep","NG.A3080_UIA_STG_2023_005_D5_rep","NG.A3080_UIA_STG_2023_005_D90_rep","NG.A3080_UIA_STG_2023_007_D1_rep","NG.A3080_UIA_STG_2023_007_D5_rep","NG.A3080_UIA_STG_2023_007_D90_rep","NG.A3080_UIA_STG_2024_014_D1_rep","NG.A3080_UIA_STG_2024_014_D5_rep","NG.A3080_UIA_STG_2024_014_D90"
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Succinivibrionaceae",0.0099039900960099,0.0509644586801281,0.0270161350806754,0.0270730541461083,0.011004,0.0842306630773477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158268733850129,0.0849004245021225,0.000231998608008352,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__TANB77|f__CAG-508",0.00251699748300252,0.0354923194308749,0.0068840344201721,0,0,0.000702997188011248,0.000972999027000973,0,0.00704999295000705,0.00876805260831565,0.00858,0.000224999775000225,0.00503799496200504,0.00591702366809467,0.0555832779163896,0,0,0,0,0.0395863958639586,0,0.00163699508901473,0.0165228678170575,0.0295641478207391,0.00102899382603704,0.00279799160602518,0,0.000917996328014688,0.070043,0.00684903424517123,0,0.00237299762700237,0.000516000516000516,0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Pasteurellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00015500062000248,8.200041000205e-05,0.000506998479004563,0,0.00108599674200977,0,0,0.000772996135019325,8.3999748000756e-05,0,0,0,0,0.046544,0.00767596929612282,0.001359,0.0397341986709934,0.160196679606641,0.00945599054400946,0.0404630404630405,0
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae",0.00767899232100768,0.00561905057145514,0.0039240196200981,0.00902201804403609,0.006715,0.0130259478962084,0.00407699592300408,0.00416897081720428,0.00895499104500896,0.0135580813484881,0.007897,0.0414529585470415,0.00478299521700478,0.00407001628006512,0.00211001055005275,0.00253099240702278,0.00682705461643693,0.00270399188802434,0.0450990901981804,0.00852608526085261,0.000740996295018525,0.0103829688510934,0.00893792849657203,0.0013160065800329,0.000746995518026892,0.00721897834306497,0,0.00288598845604618,0.00907,0.00014200071000355,0,0,0.000126000126000126,0.00609802439209757
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Peptostreptococcales|f__Anaerovoracaceae",0.00196699803300197,0.00422303800734207,0.00164500822504113,0.00161900323800648,0.009702,0.00217099131603474,0.00658899341100659,0.00367497427518007,0.00566699433300567,0.0198741192447155,0.024332,0.0243219756780243,0.00334799665200335,0.00228600914403658,0.00213001065005325,0.00898397304808085,0.0167281338250706,0.00955397133808598,0.00573001146002292,0.0043540435404354,0.001279993600032,0.00323599029202912,0.00239698082415341,0.00314901574507873,0.000158999046005724,0.00168099495701513,0.000613,0.0287708849164603,0.002571,0.00979404897024485,0.00150499699000602,0.00742399257600742,0.00496900496900497,0.000713002852011408
"k__Bacteria|p__Bacillota_C|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae",0.014988985011015,0.0250462254160287,0.0167570837854189,0.00679501359002718,0.00922,0.00345398618405526,0.0213689786310214,0.010835924148531,0.0128609871390129,0,0,0,0,0.00702802811211245,0.00415102075510378,0.00835397493807519,0.00432903463227706,0.00860797417607747,0,0.00653706537065371,0.0097919510402448,0.0140869577391268,0.00817693458452332,0.011358056790284,0.00352897882612704,0.00807897576307271,0,0,0.001743,0,0,0,0,0
"k__Bacteria|p__Bacillota_C|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae",0.0261199738800261,0.0346563119068072,0.0481512407562038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0435856513147895,0.0473092365461827,0,0,0.002589,0.00317298730805077,0,0.00501902509512548,0,0.00353599646400354,0.000848000848000848,0
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Aerococcaceae",0,0,0,0,0,0,0,7.6999461003773e-05,0,0,0,0,0.000190999809000191,0.000916003664014656,0,0.000781997654007038,0.00424803398427187,0.000442998671003987,0,0,0,0.00118699643901068,0,0,0,0,0.066903,0.00792996828012688,0,0.0132890664453322,0.0428559142881714,0.0294969705030295,0.0451660451660452,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae",0,0,0,0.000984001968003936,0.003386,0.00390498438006248,0.00808899191100809,0.00410297127920105,0.00407499592500407,0.0276271657629946,0.025272,0.0145799854200146,0.0174529825470175,0.022625090500362,0.0104920524602623,0,0,0,0,0.0026520265202652,0.00695096524517377,0.00761197716406851,0.000361997104023168,0.0005800029000145,0.000886994678031932,0.00215199354401937,0,0,0.000552,0,0,0,0,0.0133170532682131
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Christensenellales|f__Aristaeellaceae",0.00113699886300114,0.00345103105927953,0.000761003805019025,0,0.001779,0.00024499902000392,0.0102809897190103,0.0160378877347859,0.0336719663280337,0.00129100774604648,0.016227,0.0266569733430267,0.0165679834320166,0.00359001436005744,0.00264301321506607,0.00158999523001431,0.00283202265618125,0.00186599440201679,0,0.0141961419614196,0.0017319913400433,0.00198099405701783,0.00528395772833818,0.00251901259506298,0.000307998152011088,6.3999808000576e-05,0,0,0.01061,0,0,0,0,0
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__RF32|f__CAG-239",0.000193999806000194,0.000569005121046089,0,0.000427000854001708,0.000541,0.00480698077207691,0.00234499765500235,7.7999454003822e-05,0.01000998999001,0.0622793736762421,0.062538,0.0107909892090108,0.00728499271500729,0,0,0,0,0,0,0,0,0.000653998038005886,0,0,0.000501996988018072,0.00329899010302969,0,0,0.007714,0,0,0,0,0.000539002156008624
"k__Bacteria|p__Bacillota_C|c__Negativicutes|o__Veillonellales|f__Dialisteraceae",0.000247999752000248,0.000184001656014904,0.000520002600013,0.020238040476081,0.007999,0.00924196303214787,0,0,7.8999921000079e-05,0.000134000804004824,0,0,0.00786099213900786,0,0,0,9.4000752006016e-05,0,0.00750801501603003,0.0340523405234052,0.00121799391003045,0,0.0387106903144775,0.016120080600403,0.0153819077085537,0,0.000354,0.00124299502801989,0.00901,0.000575002875014375,0.000136999726000548,0.000274999725000275,0.0002000002000002,0
