"","NG.A3080_CONTROL_STG_2024_001_D1","NG.A3080_CONTROL_STG_2024_001_D5","NG.A3080_CONTROL_STG_2024_001_D90","NG.A3080_CONTROL_STG_2024_002_D1","NG.A3080_CONTROL_STG_2024_002_D5","NG.A3080_CONTROL_STG_2024_002_D90","NG.A3080_CONTROL_STG_2024_003_D1","NG.A3080_CONTROL_STG_2024_003_D5_rep","NG.A3080_CONTROL_STG_2024_003_D90","NG.A3080_CONTROL_STG_2024_004_D1_rep","NG.A3080_CONTROL_STG_2024_004_D5","NG.A3080_CONTROL_STG_2024_004_D90","NG.A3080_CONTROL_STG_2024_005_D1_rep","NG.A3080_SOS_STG_2023_022_D1","NG.A3080_SOS_STG_2023_022_D90","NG.A3080_SOS_STG_2023_033_D1","NG.A3080_SOS_STG_2023_033_D5","NG.A3080_SOS_STG_2023_033_D90","NG.A3080_SOS_STG_2023_035_D1","NG.A3080_SOS_STG_2024_009_D1","NG.A3080_SOS_STG_2024_009_D90","NG.A3080_SOS_STG_2024_011_D5","NG.A3080_UIA_STG_2023_001_D1","NG.A3080_UIA_STG_2023_001_D90","NG.A3080_UIA_STG_2023_004_D1","NG.A3080_UIA_STG_2023_005_D1_rep","NG.A3080_UIA_STG_2023_005_D5_rep","NG.A3080_UIA_STG_2023_005_D90_rep","NG.A3080_UIA_STG_2023_007_D1_rep","NG.A3080_UIA_STG_2023_007_D5_rep","NG.A3080_UIA_STG_2023_007_D90_rep","NG.A3080_UIA_STG_2024_014_D1_rep","NG.A3080_UIA_STG_2024_014_D5_rep","NG.A3080_UIA_STG_2024_014_D90"
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Succinivibrionaceae|g__Succinivibrio|s__Succinivibrio sp000431835",0.0099039900960099,0.0509644586801281,0.0270161350806754,0.0270730541461083,0.011004,0.0842306630773477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158268733850129,0.0849004245021225,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides uniformis",0.00349299650700349,0.00153601382412442,0.0009280046400232,0.00293000586001172,0.009778,0.00538497846008616,0.00524399475600524,0.0111939216425485,0.0093049906950093,0.0109180655083931,0.009361,0.00768799231200769,0.0214499785500215,0.0420981683926736,0.0390271951359757,0,0,0,0.0255970511941024,0.00672406724067241,0.0351928240358798,0.0153219540341379,0.000420996632026944,0.00116200581002905,0.000733995596026424,0.0108359674920975,0,0,0.003726,0,0,0,0,0.024128096512386
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Mediterraneibacter|s__Mediterraneibacter torques",0,0,0,0.0013500027000054,0.020149,0.00712597149611402,0,0.00035999748001764,0.00122699877300123,0.00673804042824257,0.01083,0.00628599371400629,0.00194699805300195,0.01562506250025,0.0007680038400192,0.0476258571224286,0.0492723941791534,0.0467468597594207,0,0.000616006160061601,0.0098719506402468,0.0635458093625719,0,0,0,0.0029559911320266,0,0,0.00671,0,0,0,0,0.00119700478801915
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Acutalibacteraceae|g__Ruminococcus_E|s__Ruminococcus_E intestinalis",0,0,0,0,0,0,0,0,0,0,0,0,0.0729319270680729,0,0.00532102660513303,0,0,0,0,0.0137311373113731,0,0,0,0.114773573867869,0,0.0853117440647678,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella copri_A",0,0,0,0,0,0,0.0607319392680607,0.0654535418252072,0.00156999843000157,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154798761609907,0.0058360291801459,0.12916122503265,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium duncaniae",0.0375459624540375,0.0366943302489722,0.021718108590543,0.00690301380602761,0.004457,0.00457298170807317,0.000994999005000995,0.0284578007953944,0.00628899371100629,0,0,0,0,0.0130890523562094,0.00339001695008475,0.00949497151508545,0.00926307410459284,0.010443968668094,0,0.0021190211902119,0.010719946400268,0.0327979016062952,0.0153628770969832,0.0024720123600618,0.0029639822161067,0.0030109909670271,0,0,0.006938,0,0,0,0,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium prausnitzii",0.0266669733330267,0.0366943302489722,0.00266201331006655,0,0,0,0.0057999942000058,0.0298807908344642,0.0252019747980252,0,0,0,0.00118199881800118,0.012252049008196,0.00371801859009295,0.0264359206922379,0.0108740869926959,0.0281659155022535,0,0.00804608046080461,0,0.0327979016062952,0.00510195918432653,0.00568902844514223,0.00104899370603776,0,0,0,0.007201,0,0,0,0,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Agathobacter|s__Agathobacter rectalis",0.0127249872750127,0.000845007605068446,0.0119720598602993,0,0,0,0.0382389617610382,0.00468796718422971,0.000601999398000602,0,0,0.000334999665000335,0.0023049976950023,0,0,0.00693797918606244,0.0034390275122201,0.00652498042505872,0,0.000677006770067701,0.0198459007704961,0.000837997486007542,0.00925792593659251,0.0085080425402127,0.0128349229904621,0.0921367235898292,0,0,0.031044,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella sp900551275",0.0750929249070751,0.0214311928807359,0.108864544322722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0292197662418701,0.0219651098255491,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella sp900546535",0.0962129037870962,0.0305782752044768,0.0900224501122506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000716007160071601,0,0,0.0152918776649787,0.0154750773753869,0,0,0,0,0,0,0,0,0,0
