"","NG.A3080_CONTROL_STG_2024_001_D1","NG.A3080_CONTROL_STG_2024_001_D5","NG.A3080_CONTROL_STG_2024_001_D90","NG.A3080_CONTROL_STG_2024_002_D1","NG.A3080_CONTROL_STG_2024_002_D5","NG.A3080_CONTROL_STG_2024_002_D90","NG.A3080_CONTROL_STG_2024_003_D1","NG.A3080_CONTROL_STG_2024_003_D5_rep","NG.A3080_CONTROL_STG_2024_003_D90","NG.A3080_CONTROL_STG_2024_004_D1_rep","NG.A3080_CONTROL_STG_2024_004_D5","NG.A3080_CONTROL_STG_2024_004_D90","NG.A3080_CONTROL_STG_2024_005_D1_rep","NG.A3080_SOS_STG_2023_022_D1","NG.A3080_SOS_STG_2023_022_D90","NG.A3080_SOS_STG_2023_033_D1","NG.A3080_SOS_STG_2023_033_D5","NG.A3080_SOS_STG_2023_033_D90","NG.A3080_SOS_STG_2023_035_D1","NG.A3080_SOS_STG_2024_009_D1","NG.A3080_SOS_STG_2024_009_D90","NG.A3080_SOS_STG_2024_011_D5","NG.A3080_UIA_STG_2023_001_D1","NG.A3080_UIA_STG_2023_001_D90","NG.A3080_UIA_STG_2023_004_D1","NG.A3080_UIA_STG_2023_005_D1_rep","NG.A3080_UIA_STG_2023_005_D5_rep","NG.A3080_UIA_STG_2023_005_D90_rep","NG.A3080_UIA_STG_2023_007_D1_rep","NG.A3080_UIA_STG_2023_007_D5_rep","NG.A3080_UIA_STG_2023_007_D90_rep","NG.A3080_UIA_STG_2024_014_D1_rep","NG.A3080_UIA_STG_2024_014_D5_rep","NG.A3080_UIA_STG_2024_014_D90"
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Peptostreptococcales|f__Peptostreptococcaceae|g__Romboutsia",0,0,0.00017000085000425,0,0.000344,0,0.000995999004000996,0.000566996031027783,0.00189099810900189,0.000519003114018684,0.000769,0,0,0.00129200516802067,0,0,0,0,0,0.0104331043310433,0.000398998005009975,0.00606498180505459,0.00225198198414413,0.00155300776503883,0.00100699395803625,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Christensenellales|f__Borkfalkiaceae|g__UMGS775",0,0,0,0,0,0,4.7999952000048e-05,0,0,0,0,0,0.000162999837000163,0,0,0,0,0,0,0,0,0,0,0,0,0.000136999589001233,0,0,0,0,0,0,0,0.0277461109844439
"k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000266999199002403,0,0,0,0,0,0,0,0,0,0,0.001092,0.00351298594805621,0,0.0157170785853929,0.00342799314401371,0.00191599808400192,0.00201200201200201,0
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Bifidobacteriaceae|g__Alloscardovia",0,0,0,0,0,0,0,0,0,0,0,0.000112999887000113,0,0,0,0,0,0,0,0,0.00119299403502982,0.000244999265002205,0,0,0,0,0.006438,0.0187459250162999,0,0.000255001275006375,0,0,0.000359000359000359,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Limivivens",0.00142399857600142,0.000924008316074845,0.00111500557502788,0.00151900303800608,0.001907,0.00112599549601802,0.000378999621000379,0.00121799147405968,0.000730999269000731,0,0,0,0.000666999333000667,0.00159700638802555,0.0034160170800854,0.00147399557801327,0.00079000632005056,0.00147199558401325,0,0.000936009360093601,0,0.000296999109002673,0.00190098479212166,0.00129500647503238,0.000910994534032796,0.000447998656004032,0,0,0.001265,0,0,0,0,0
"k__Bacteria|p__Bacillota_C|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__CAG-266",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00254801019204077,0.00348601743008715,0,0,0,0,0,0,0,0.00817693458452332,0.011358056790284,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Christensenellales|f__CAG-917|g__CAG-475",0,0.0254792293130638,8.80004400022e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Pelomonas",8.3999916000084e-05,0,6.40003200016e-05,0,3.1e-05,4.6999812000752e-05,0,0,0,0,0,0,0.000951999048000952,0.000404001616006464,0,0,0.00031500252002016,0.00028999913000261,0,0.0004410044100441,0,0.000327999016002952,0,0,0,0,0.005802,0.00575497698009208,0.00121,0.00195900979504898,0.00179099641800716,0.0031959968040032,0.0024980024980025,0.000329001316005264
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Christensenellales|f__Borkfalkiaceae|g__Coproplasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002250022500225,0,0,0,0,0,0.000173999478001566,0,0,0,0,0,0,0,0.024247096988388
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Peptostreptococcales|f__Anaerovoracaceae|g__Eubacterium_B",0,0,0,0,0,0,0.000121999878000122,0,0,0,0,0,0,0,0,0,0.000236001888015104,0,0,0,0,0,0,0,0,0,0,0.0212909148363407,0,0.00297701488507443,0,0,0,0
