"","NG.A3080_CONTROL_STG_2024_001_D1","NG.A3080_CONTROL_STG_2024_001_D5","NG.A3080_CONTROL_STG_2024_001_D90","NG.A3080_CONTROL_STG_2024_002_D1","NG.A3080_CONTROL_STG_2024_002_D5","NG.A3080_CONTROL_STG_2024_002_D90","NG.A3080_CONTROL_STG_2024_003_D1","NG.A3080_CONTROL_STG_2024_003_D5_rep","NG.A3080_CONTROL_STG_2024_003_D90","NG.A3080_CONTROL_STG_2024_004_D1_rep","NG.A3080_CONTROL_STG_2024_004_D5","NG.A3080_CONTROL_STG_2024_004_D90","NG.A3080_CONTROL_STG_2024_005_D1_rep","NG.A3080_SOS_STG_2023_022_D1","NG.A3080_SOS_STG_2023_022_D90","NG.A3080_SOS_STG_2023_033_D1","NG.A3080_SOS_STG_2023_033_D5","NG.A3080_SOS_STG_2023_033_D90","NG.A3080_SOS_STG_2023_035_D1","NG.A3080_SOS_STG_2024_009_D1","NG.A3080_SOS_STG_2024_009_D90","NG.A3080_SOS_STG_2024_011_D5","NG.A3080_UIA_STG_2023_001_D1","NG.A3080_UIA_STG_2023_001_D90","NG.A3080_UIA_STG_2023_004_D1","NG.A3080_UIA_STG_2023_005_D1_rep","NG.A3080_UIA_STG_2023_005_D5_rep","NG.A3080_UIA_STG_2023_005_D90_rep","NG.A3080_UIA_STG_2023_007_D1_rep","NG.A3080_UIA_STG_2023_007_D5_rep","NG.A3080_UIA_STG_2023_007_D90_rep","NG.A3080_UIA_STG_2024_014_D1_rep","NG.A3080_UIA_STG_2024_014_D5_rep","NG.A3080_UIA_STG_2024_014_D90"
"k__Bacteria|p__Bacillota_C|c__Negativicutes|o__Acidaminococcales",0.014988985011015,0.0250462254160287,0.0167570837854189,0.00679501359002718,0.00922,0.00345398618405526,0.0213689786310214,0.010835924148531,0.0128609871390129,0,0,0,0,0.00702802811211245,0.00415102075510378,0.00835397493807519,0.00432903463227706,0.00860797417607747,0,0.00653706537065371,0.0097919510402448,0.0140869577391268,0.00817693458452332,0.011358056790284,0.00352897882612704,0.00807897576307271,0,0,0.001743,0,0,0,0,0
"k__Bacteria|p__Bacillota_C|c__Negativicutes|o__Selenomonadales",0.0261199738800261,0.0346563119068072,0.0481512407562038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0435856513147895,0.0473092365461827,0,0,0.002589,0.00317298730805077,0,0.00501902509512548,0,0.00353599646400354,0.000848000848000848,0
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__RF32",0.000193999806000194,0.00056900512104609,0,0.000427000854001708,0.000541,0.00480698077207691,0.00234499765500234,7.7999454003822e-05,0.01000998999001,0.0622793736762421,0.062538,0.0107909892090108,0.00728499271500729,0,0,0,0,0,0,0,0,0.000653998038005886,0,0.013278066390332,0.000501996988018072,0.00329899010302969,0,0,0.007714,0,0,0,0,0.000539002156008624
"k__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales",0,0.000149001341012069,0,0,0,0,7.3999926000074e-05,0,0.000130999869000131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000817,0.0222349110603558,0,0.0778643893219466,0,0.0113809886190114,0.00772400772400773,0
"k__Bacteria|p__Bacillota|c__Bacilli|o__Staphylococcales",0,0,0,0,0,0,0,0,0,0,0,0,0,0.000762003048012192,0,0.000184999445001665,0.00224001792014336,0,0,0.0002710027100271,0,0.000705997882006354,0,0,0,0,0.006566,0.00360198559205763,0,0.0031280156400782,0,0.0220719779280221,0.0710880710880711,0
"k__Bacteria|p__Cyanobacteriota|c__Vampirovibrionia|o__Gastranaerophilales",0.00581399418600581,0.00119301073709663,0.000869004345021725,4.9000098000196e-05,9.3e-05,0.00550297798808805,0,0,0,0.0185591113546681,0.017092,0.000422999577000423,0.0164899835100165,0,0,0,0,0,0,0,0,0.000148999553001341,0.000323997408020736,0.0404852024260121,0,5.1999844000468e-05,0,0,0.001769,0,0,0,0,0
"k__Bacteria|p__Bacillota_I|c__Bacilli_A|o__RFN20",0.00231099768900231,0.00234102106918962,0.00313301566507833,0.0149540299080598,0.029512,0.0376388494446022,0,0.000420997053020629,0.000126999873000127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000233001165005825,0,0,0,0,0.010712,0,0,0,0,0
"k__Bacteria|p__Bacillota_I|c__Bacilli_A|o__RF39",0,0,0.00019000095000475,0,0,0,0.0104939895060105,0.000743994792036456,0.0086979913020087,0,0,0,0.000774999225000775,0.000173000692002768,0.0104420522102611,0,0,0,0,0.0622576225762258,0.0017559912200439,0,0.00439796481628147,0.00015000075000375,0,0,0,0,0,0,0,0,0,0.000396001584006336
"k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales",0,0,0,0,0,0,0.00166199833800166,0.00113699204105571,0.00828299171700828,0,0,0,0,0.00245100980403922,0.00696703483517418,0,0,0,0,0.0380583805838058,0.00220598897005515,0.000348998953003141,0.00315497476020192,0.0102550512752564,0,0,0,0,0.016475,0,0,0,0,0.00658702634810539
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Clostridiales",0.000111999888000112,0,0.00018600093000465,0,0,0.000305998776004896,0.000572999427000573,0.00015999888000784,0.00163299836700163,0.00171201027206163,0.000383,0,0,0.0112840451361805,0.0512602563012815,0.000631998104005688,0.00043500348002784,0.000525998422004734,0,0.0030040300403004,0.000236998815005925,0.0034559896320311,0.00393696850425197,0.00619303096515483,0.000831995008029952,0.00495898512304463,0,0,0,0,0,0,0,0
